1,Let's try something.
2,I have to go to sleep.
3,Today is June 18th and it is Muiriel's birthday!
4,Muiriel is 20 now.
5,"The password is ""Muiriel""."
6,I will be back soon.
7,I'm at a loss for words.
8,This is never going to end.
9,I just don't know what to say.
10,That was an evil bunny.
11,I was in the mountains.
12,Is it a recent picture?
13,I don't know if I have the time.
14,Education in this world disappoints me.
15,You're in better shape than I am.
16,You are in my way.
17,This will cost €30.
18,I make €100 a day.
19,I may give up soon and just nap instead.
20,It's because you don't want to be alone.
21,That won't happen.
22,Sometimes he can be a strange guy.
23,I'll do my best not to disturb your studying.
24,I can only wonder if this is the same for everyone else.
25,I suppose it's different when you think about it over the long term.
26,I miss you.
27,I'll call them tomorrow when I come back.
28,I always liked mysterious characters more.
29,You should sleep.
30,I'm going to go.
31,I told them to send me another ticket.
32,You're so impatient with me.
33,I can't live that kind of life.
34,I once wanted to be an astrophysicist.
35,I never liked biology.
36,The last person I told my idea to thought I was nuts.
37,"If the world weren't in the shape it is now, I could trust anyone."
38,It is unfortunately true.
39,They are too busy fighting against each other to care for common ideals.
40,Most people think I'm crazy.
41,No I'm not; you are!
42,That's MY line!
43,He's kicking me!
44,Are you sure?
45,Then there is a problem...
46,"Oh, there's a butterfly!"
47,Hurry up.
48,It doesn't surprise me.
49,For some reason I feel more alive at night.
50,It depends on the context.
51,Are you freaking kidding me?!
52,That's the stupidest thing I've ever said.
53,I don't want to be lame; I want to be cool!!
54,"When I grow up, I want to be a king."
55,"America is a lovely place to be, if you are here to earn money."
56,I'm so fat.
57,So what?
58,I'm gonna shoot him.
59,"I'm not a real fish, I'm just a mere plushy."
60,I'm just saying!
61,That was probably what influenced their decision.
62,I've always wondered what it'd be like to have siblings.
63,This is what I would have said.
64,It would take forever for me to explain everything.
65,That's because you're a girl.
66,Sometimes I can't help showing emotions.
67,It's a word I'd like to find a substitute for.
68,It would be something I'd have to program.
69,I don't intend to be selfish.
70,Let's consider the worst that could happen.
71,How many close friends do you have?
72,"I may be antisocial, but it doesn't mean I don't talk to people."
73,This is always the way it has been.
74,I think it is best not to be impolite.
75,One can always find time.
76,"I'd be unhappy, but I wouldn't kill myself."
77,"Back in high school, I got up at 6 a.m. every morning."
78,"When I woke up, I was sad."
79,That is somewhat explained at the end.
80,I thought you liked to learn new things.
81,Most people write about their daily life.
82,"If I could send you a marshmallow, Trang, I would."
83,"In order to do that, you have to take risks."
84,Every person who is alone is alone because they are afraid of others.
85,Why do you ask?
86,I am not an artist. I never had the knack for it.
87,I can't tell her now. It's not that simple anymore.
88,"I am a flawed person, but these are flaws that can easily be fixed."
89,"Whenever I find something I like, it's too expensive."
90,How long did you stay?
91,Maybe it will be exactly the same for him.
92,Innocence is a beautiful thing.
93,Humans were never meant to live forever.
94,"I don't want to lose my ideas, even though some of them are a bit extreme."
95,I think I have a theory about that.
96,That is intriguing.
97,You are saying you intentionally hide your good looks?
98,I do not have an account in these forums.
99,"If anyone was to ask what the point of the story is, I really don't know."
100,This is what I was looking for! he exclaimed.
101,"This looks pretty interesting, Hiroshi says."
102,Their communication may be much more complex than we thought.
103,"The phone is ringing. ""I'll get it."""
104,"That's very nice of you, Willie answered."
105,"Thank you for helping me. ""Don't mention it."""
106,Someday I'll run like the wind.
107,"She likes music. ""So do I."""
108,Please don't cry.
109,Let me know if there is anything I can do.
110,It may be that the happiness awaiting us is not at all the sort of happiness we would want.
111,It is up to you to decide whether we will go there or not.
112,Class doesn't begin until eight-thirty.
113,I want a boat that will take me far away from here.
114,"I feel like playing cards. ""So do I."""
115,Haven't we met somewhere before? asked the student.
116,A Japanese would never do such a thing.
117,Allen is a poet.
118,The archer killed the deer.
119,Communism will never be reached in my lifetime.
120,Rye was called the grain of poverty.
121,"In the 1950's, the Finns were cited as having one of the least healthy diets in the world."
122,"If you see a mistake, then please correct it."
123,Place the deck of cards on the oaken table.
124,The Germans are very crafty.
125,"If you don't eat, you die."
126,"How do you spell ""pretty""?"
127,Why don't we go home?
128,"I'm sorry, I can't stay long."
129,Ten years is a long time to wait.
130,"Why aren't you going? ""Because I don't want to."""
131,One million people lost their lives in the war.
132,It is not rare at all to live over ninety years.
133,"First, I'm going to do an outline of my new website."
134,"Democracy is the worst form of government, except all the others that have been tried."
135,"When you're beginning to look like the photo in your passport, you should go on a holiday."
136,"It wasn't me, commissioner!"
137,"Oh, my white pants! And they were new."
138,With so many people around he naturally became a bit nervous.
139,"When I left the train station, I saw a man."
140,You're an angel!
141,People from Madrid are weird.
142,"Well, the night is quite long, isn't it?"
143,You're lucky because he didn't bite you.
144,Did you miss me?
145,Are they all the same?
146,Thank you very much!
147,"Where are the eggs, please?"
148,I'll take him.
149,It's a surprise.
150,That's a good idea!
151,Round trip? Only one-way.
152,It's a pity when somebody dies.
153,They were left speechless.
154,Damn! It's not bad!
155,Pull into shape after washing.
156,Wash before first wearing.
157,Don't open before the train stops.
158,Those who live in glass houses should not throw stones.
159,They say love is blind.
160,"Oh, I'm sorry."
161,"Math is like love: a simple idea, but it can get complicated."
162,The only useful answers are those that raise new questions.
163,To have doubts about oneself is the first sign of intelligence.
164,"Poor is not the one who has too little, but the one who wants too much."
165,"Seeing that you're not surprised, I think you must have known."
166,How long does it take to get to the station?
167,This will be a good souvenir of my trip around the United States.
168,Excuse me; allow me to point out three errors in the above article.
169,"It is difficult to keep up a conversation with someone who only says ""yes"" and ""no""."
170,Do you speak Italian?
171,"I can't think with that noise, she said, as she stared at the typewriter."
172,"It is said that ""Hamlet"" is the most interesting play ever written."
173,May I ask a question?
174,How do you feel? he inquired.
175,It's quite difficult to master French in 2 or 3 years.
176,It's impossible for me to explain it to you.
177,I don't want to spend the rest of my life regretting it.
178,It would be fun to see how things change over the years.
179,I would never have guessed that.
180,Imagination affects every aspect of our lives.
181,You'll forget about me someday.
182,That is rather unexpected.
183,I wonder how long it's going to take.
184,I can't live without a TV.
185,I couldn't have done it without you. Thank you.
186,Nothing is achieved without effort.
187,Many people drift through life without a purpose.
188,Life without love is just totally pointless.
189,Let me know if I need to make any changes.
190,I think exams are ruining education.
191,We can't sleep because of the noise.
192,Do you have a condom?
193,Do whatever he tells you.
194,I can walk to school in 10 minutes.
195,It took me more than two hours to translate a few pages of English.
196,It is already eleven.
197,May I talk to Ms. Brown?
198,"Yes, orange juice please, says Mike."
199,Ah! is an interjection.
200,What do you want?
201,The mandatory character of schooling is rarely analyzed in the multitude of works dedicated to the study of the various ways to develop within children the desire to learn.
202,You suck dude! I have to tell you everything!
203,I have a bone to pick with you.
204,Do you need me to give you some money?
205,Paris is the most beautiful city in the world.
206,"Hey, I may have no money, but I still have my pride."
207,I have a dream.
208,This is my friend Rachel. We went to high school together.
209,The cost of life increased drastically.
210,"All that which is invented, is true."
211,"To be surprised, to wonder, is to begin to understand."
212,But the universe is infinite.
213,To be perfect she lacked just one defect.
214,"And yet, the contrary is always true as well."
215,"We don't see things as they are, but as we are."
216,The world is a den of crazies.
217,You opened up my eyes to what it's like when everything is right.
218,You found me where no one else was looking.
219,You're by my side; everything's fine now.
220,Doing math is the only socially acceptable way to masturbate in public.
221,"There are 10 types of people in the world: those who understand binary, and those who don't."
222,"I don't think, therefore I am not."
223,"Nowadays we want our children to make their own decisions, but we expect those decisions to please us."
224,"Don't worry, be happy!"
225,I find foreign languages very interesting.
226,I don't like learning irregular verbs.
227,Take a book and read it.
228,Face life with a smile!
229,"Most schools were designed not to transform society, but to reproduce it."
230,You make me dream.
231,I'm beside myself with joy.
232,He's already a man.
233,The vacation is over now.
234,I'm afraid to fall.
235,Evening dress is desired.
236,That's the absolute truth.
237,It's cold.
238,I'm thirsty.
239,"When I ask people what they regret most about high school, they nearly all say the same thing: that they wasted so much time."
240,"When you can't do what you want, you do what you can."
241,Give him an inch and he'll take a yard.
242,You did this intentionally!
243,You didn't tell him anything?
244,You made me lose my mind.
245,You're my type.
246,You're irresistible.
247,"Could you call again later, please?"
248,Who am I talking with?
249,"I accept, but only under one condition."
250,"Smile now, cry later!"
251,At the age of six he had learned to use the typewriter and told the teacher that he did not need to learn to write by hand.
252,Life is beautiful.
253,There are days where I feel like my brain wants to abandon me.
254,I can't cut my nails and do the ironing at the same time!
255,I can't take it anymore! I haven't slept for three days!
256,He doesn't want you to tell him about your sex life.
257,Have you ever eaten a banana pie?
258,Why would you marry a woman if you like men?
259,"If you can't have children, you could always adopt."
260,Are you for or against abortions?
261,What made you change your mind?
262,"Hey, look, a three-headed monkey!"
263,It's a pity that you can't buy miracles like you would buy potatoes.
264,I love lasagna.
265,"If you know that something unpleasant will happen, that you will go to the dentist for example, or to France, then that is not good."
266,"Half an eye is very useful actually, because an animal can see half of another animal, which wants to eat it, and can get out of the way, and it will eat the animal, which has only one-half eye or only 49% of an eye, because this to it will not be enough, and the animal, which was eaten up, will have no children, because it is dead."
267,"Prime numbers are like life; they are completely logical, but impossible to find the rules for, even if you spend all your time thinking about it."
268,"If you raise an eyebrow, it can mean ""I want to have sex with you"", but also ""I find that what you just said is completely idiotic."""
269,The brain is just a complicated machine.
270,"A schedule is an identity card for time, but, if you don't have a schedule, the time isn't there."
271,This baby penguin is too cute!
272,I'm at the hospital. I got struck by lightning.
273,"Let's face it, it's impossible. We're never gonna make it."
274,What is your greatest source of inspiration?
275,You don't marry someone you can live with — you marry the person whom you cannot live without.
276,"In theory, there is no difference between theory and practice. But, in practice, there is."
277,"Don't stay in bed, unless you can make money in bed."
278,"There are people in the world so hungry, that God cannot appear to them except in the form of bread."
279,Anything that is too stupid to be spoken is sung.
280,It requires wisdom to understand wisdom: the music is nothing if the audience is deaf.
281,I was rereading the letters you sent to me.
282,I don't want to go to school.
283,It's over between us. Give me back my ring!
284,It is raining.
285,"I was planning on going to the beach today, but then it started to rain."
286,"She's really smart, isn't she?"
287,An opinion is shocking only if it is a conviction.
288,"People who love doubt nothing, or doubt everything."
289,Justice is expensive.
290,Liberty consists of being able to make everything as harmless as possible.
291,The slowest one to make a promise is the most faithful one in keeping it.
292,Every opinion is a mixture of truth and mistakes.
293,Life is a fatal sexually transmitted disease.
294,"If two men always have the same opinion, one of them is unnecessary."
295,Our opinion is an idea which we have; our conviction an idea which has us.
296,"Tomorrow, I'm going to study at the library."
297,Too late.
298,I went to the zoo yesterday.
299,We won the battle.
300,Hello? Are you still here?